City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
317,Coxim,BR,-18.5067,-54.76,64.36,68,96,11.01
318,Guerrero Negro,MX,27.9769,-114.0611,65.5,74,100,11.86
319,Parkes,AU,-33.1333,148.1833,58.53,62,75,8.12
320,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,98,99,2.21
321,Karakol,KG,42.4907,78.3936,47.08,35,98,4.34
322,Haileybury,CA,47.449,-79.6373,48.36,76,100,9.46
323,Hambantota,LK,6.1241,81.1185,84.6,69,66,15.66
324,Manta,EC,-0.95,-80.7333,69.58,88,75,10.36
325,Arcata,US,40.8665,-124.0828,43.75,96,0,4.61
326,Llanes,ES,43.4198,-4.7549,59.9,57,100,2.68
327,Portobelo,PA,9.55,-79.65,79.95,84,100,7.54
328,Migori,KE,-1.0634,34.4731,68.76,67,100,8.19
329,Talara,PE,-4.5772,-81.2719,64.58,77,40,16.35
330,Apiai,BR,-24.5094,-48.8425,46.29,100,95,3.2
331,Aktash,RU,50.3,87.7333,26.96,37,90,3.78
332,Okha,RU,53.5739,142.9478,34.32,95,100,32.12
333,Tiarei,PF,-17.5333,-149.3333,77.02,87,87,19.24
334,Saldanha,ZA,-33.0117,17.9442,59.99,88,12,6.76
335,Coihaique,CL,-45.5752,-72.0662,47.01,90,7,2.3
336,Torbay,CA,47.6666,-52.7314,40.75,92,100,20.71
337,Sapa,PH,5.1544,120.3241,83.35,76,100,8.86
338,Masinigudi,IN,11.5667,76.6667,74.93,73,81,4.07
339,Biltine,TD,14.5333,20.9167,68.68,22,53,11.77
340,Moerai,PF,-22.4333,-151.3333,72.27,70,93,26.15
341,Sur,OM,22.5667,59.5289,84.99,39,11,6.08
342,Sambava,MG,-14.2667,50.1667,74.43,77,57,5.95
343,Baykit,RU,61.67,96.37,22.73,68,100,3.78
344,Romitan,UZ,39.9343,64.3814,57.15,51,0,4.61
345,Sistranda,NO,63.7256,8.834,46.36,81,33,23.2
346,Mugur-Aksy,RU,50.35,90.5,25.59,65,20,5.57
347,Leh,IN,34.1667,77.5833,35.92,47,42,2.98
348,Noyabrsk,RU,63.1994,75.4507,18.12,93,81,13.29
349,Douentza,ML,14.9951,-2.9517,72.55,17,0,4.05
350,Yamada,JP,39.4667,141.95,62.51,67,79,12.68
351,Ribeira Grande,PT,38.5167,-28.7,63.77,92,94,5.01
352,Praya,CV,14.9215,-23.5087,77.54,78,0,13.8
353,Ayan,RU,56.45,138.1667,33.58,70,100,12.37
354,Normandin,CA,48.8333,-72.5321,35.49,62,92,3.65
355,Leningradskiy,RU,69.3833,178.4167,-1.25,91,92,8.95
356,Shelburne,CA,44.0787,-80.2041,48.6,89,4,7.14
357,Shakawe,BW,-18.3667,21.85,69.66,80,99,3.85
358,Necochea,AR,-38.5473,-58.7368,46.22,91,0,9.33
359,Celestun,MX,20.8667,-90.4,78.62,84,100,11.81
360,Mihalt,RO,46.15,23.7333,51.55,88,98,2.08
361,Nara,JP,34.6851,135.8049,75.49,32,0,7.99
362,Mazagao,BR,-0.115,-51.2894,80.65,89,94,3.67
363,Bisho,ZA,-32.8472,27.4422,60.55,96,100,2.55
364,Katoro,TZ,-3.0203,31.8958,69.48,76,99,3.62
365,Kaitangata,NZ,-46.2817,169.8464,60.22,51,57,5.93
366,Deputatskiy,RU,69.3,139.9,-6.52,88,99,1.59
367,Skelleftea,SE,64.7507,20.9528,43.16,100,100,4.61
368,Sao Joao Da Barra,BR,-21.6403,-41.0511,64.98,90,100,17.65
369,Stornoway,GB,58.2093,-6.3865,46.36,83,40,23.02
370,Meulaboh,ID,4.1363,96.1285,82.02,74,90,4.07
371,Solotcha,RU,54.7917,39.8442,31.17,81,73,7.45
372,Saskylakh,RU,71.9167,114.0833,4.39,91,100,12.06
373,Gisborne,NZ,-38.6533,178.0042,67.35,78,100,8.19
374,Peachtree City,US,33.3968,-84.5958,60.49,89,75,4.61
375,Atasu,KZ,48.6814,71.6433,37.89,57,14,16.84
376,Igarka,RU,67.4667,86.5833,1.92,98,69,4.76
377,San Carlos De Bariloche,AR,-41.1456,-71.3082,54.25,41,0,8.05
378,Zhuhai,CN,22.2769,113.5678,73.18,88,40,5.75
379,Jaguaquara,BR,-13.5306,-39.9708,67.1,98,100,2.98
380,Lubango,AO,-14.9172,13.4925,63.77,69,85,2.1
381,Rocha,UY,-34.4833,-54.3333,48.33,61,0,4.18
382,Lachute,CA,45.6501,-74.3325,44.46,71,52,3.36
383,Poum,NC,-20.2333,164.0167,79.9,70,29,9.13
384,Wiang Sa,TH,8.6359,99.3666,89.29,50,90,4.9
385,Thanh Hoa,VN,19.8,105.7667,82.78,37,82,4.16
386,Newport,GB,51.5877,-2.9984,51.64,91,100,8.32
387,Xinmin,CN,41.9908,122.8253,38.35,18,0,12.01
388,Indianola,US,41.3581,-93.5574,64.09,57,45,17.78
389,Makakilo City,US,21.3469,-158.0858,79.12,67,0,10.36
390,Koksovyy,RU,48.1967,40.5989,39.94,86,61,6.35
391,Tulum,MX,20.2167,-87.4667,76.28,94,100,6.33
392,Puerto Maldonado,PE,-12.6,-69.1833,61.48,64,100,2.21
393,Balikpapan,ID,-1.2675,116.8289,85.19,70,20,0.0
394,La Ronge,CA,55.1001,-105.2842,25.05,94,100,15.5
395,Parabel,RU,58.6978,81.4825,29.98,78,81,9.04
396,Kununurra,AU,-15.7667,128.7333,102.18,24,38,6.91
397,Valenca Do Piaui,BR,-6.4075,-41.7456,72.81,82,85,3.67
398,Fereydun Kenar,IR,36.6864,52.5225,62.35,57,2,2.26
399,Buala,SB,-8.145,159.5921,82.94,75,82,1.61
400,Ardatov,RU,55.2421,43.097,31.68,94,100,11.01
401,San Andres,CO,12.5847,-81.7006,77.02,100,100,3.44
402,Tual,ID,-5.6667,132.75,79.88,75,100,3.42
403,Longyearbyen,SJ,78.2186,15.6401,33.64,93,75,2.3
404,Antalaha,MG,-14.9003,50.2788,76.53,67,85,2.37
405,Hervey Bay,AU,-25.2986,152.8535,75.04,29,0,2.44
406,Noumea,NC,-22.2763,166.4572,87.78,74,31,7.94
407,Praia,CV,14.9215,-23.5087,77.54,78,0,13.8
